Atom # | Atom Type | Number of Bonds | Atoms Bond With (#-Symbol)
1 | C | 4 | 109-Si, 136-Si, 168-Si, 180-Si, 
2 | C | 4 | 109-Si, 110-Si, 150-Si, 152-Si, 
3 | C | 4 | 109-Si, 112-Si, 124-Si, 126-Si, 
4 | C | 4 | 109-Si, 111-Si, 116-Si, 120-Si, 
5 | C | 4 | 113-Si, 124-Si, 152-Si, 204-Si, 
6 | C | 4 | 114-Si, 134-Si, 166-Si, 208-Si, 
7 | C | 4 | 113-Si, 115-Si, 162-Si, 166-Si, 
8 | C | 4 | 114-Si, 116-Si, 164-Si, 168-Si, 
9 | C | 4 | 113-Si, 119-Si, 134-Si, 138-Si, 
10 | C | 4 | 114-Si, 120-Si, 136-Si, 140-Si, 
11 | C | 4 | 110-Si, 112-Si, 113-Si, 117-Si, 
12 | C | 4 | 114-Si, 115-Si, 118-Si, 119-Si, 
13 | C | 4 | 116-Si, 121-Si, 150-Si, 214-Si, 
14 | C | 4 | 122-Si, 135-Si, 178-Si, 216-Si, 
15 | C | 4 | 121-Si, 123-Si, 178-Si, 182-Si, 
16 | C | 4 | 122-Si, 124-Si, 180-Si, 184-Si, 
17 | C | 4 | 110-Si, 111-Si, 121-Si, 127-Si, 
18 | C | 4 | 122-Si, 123-Si, 125-Si, 128-Si, 
19 | C | 4 | 121-Si, 125-Si, 135-Si, 143-Si, 
20 | C | 4 | 122-Si, 126-Si, 136-Si, 144-Si, 
21 | C | 4 | 110-Si, 129-Si, 162-Si, 182-Si, 
22 | C | 4 | 123-Si, 130-Si, 184-Si, 202-Si, 
23 | C | 4 | 115-Si, 131-Si, 164-Si, 210-Si, 
24 | C | 4 | 132-Si, 133-Si, 206-Si, 212-Si, 
25 | C | 4 | 129-Si, 133-Si, 202-Si, 210-Si, 
26 | C | 4 | 130-Si, 134-Si, 204-Si, 212-Si, 
27 | C | 4 | 131-Si, 135-Si, 206-Si, 214-Si, 
28 | C | 4 | 132-Si, 136-Si, 208-Si, 216-Si, 
29 | C | 4 | 115-Si, 117-Si, 129-Si, 141-Si, 
30 | C | 4 | 130-Si, 133-Si, 137-Si, 142-Si, 
31 | C | 4 | 116-Si, 118-Si, 131-Si, 143-Si, 
32 | C | 4 | 132-Si, 135-Si, 139-Si, 144-Si, 
33 | C | 4 | 123-Si, 127-Si, 129-Si, 137-Si, 
34 | C | 4 | 124-Si, 128-Si, 130-Si, 138-Si, 
35 | C | 4 | 131-Si, 133-Si, 139-Si, 141-Si, 
36 | C | 4 | 132-Si, 134-Si, 140-Si, 142-Si, 
37 | C | 4 | 120-Si, 126-Si, 145-Si, 199-Si, 
38 | C | 4 | 146-Si, 167-Si, 179-Si, 200-Si, 
39 | C | 4 | 111-Si, 112-Si, 145-Si, 147-Si, 
40 | C | 4 | 146-Si, 148-Si, 149-Si, 151-Si, 
41 | C | 4 | 145-Si, 151-Si, 175-Si, 179-Si, 
42 | C | 4 | 146-Si, 152-Si, 176-Si, 180-Si, 
43 | C | 4 | 145-Si, 149-Si, 159-Si, 167-Si, 
44 | C | 4 | 146-Si, 150-Si, 160-Si, 168-Si, 
45 | C | 4 | 112-Si, 138-Si, 153-Si, 175-Si, 
46 | C | 4 | 151-Si, 154-Si, 176-Si, 203-Si, 
47 | C | 4 | 119-Si, 140-Si, 155-Si, 195-Si, 
48 | C | 4 | 156-Si, 165-Si, 196-Si, 207-Si, 
49 | C | 4 | 117-Si, 119-Si, 153-Si, 157-Si, 
50 | C | 4 | 154-Si, 158-Si, 161-Si, 165-Si, 
51 | C | 4 | 118-Si, 120-Si, 155-Si, 159-Si, 
52 | C | 4 | 156-Si, 160-Si, 163-Si, 167-Si, 
53 | C | 4 | 153-Si, 165-Si, 195-Si, 203-Si, 
54 | C | 4 | 154-Si, 166-Si, 196-Si, 204-Si, 
55 | C | 4 | 155-Si, 167-Si, 199-Si, 207-Si, 
56 | C | 4 | 156-Si, 168-Si, 200-Si, 208-Si, 
57 | C | 4 | 147-Si, 151-Si, 153-Si, 161-Si, 
58 | C | 4 | 148-Si, 152-Si, 154-Si, 162-Si, 
59 | C | 4 | 155-Si, 157-Si, 163-Si, 165-Si, 
60 | C | 4 | 156-Si, 158-Si, 164-Si, 166-Si, 
61 | C | 4 | 111-Si, 143-Si, 159-Si, 169-Si, 
62 | C | 4 | 149-Si, 160-Si, 170-Si, 213-Si, 
63 | C | 4 | 125-Si, 144-Si, 171-Si, 197-Si, 
64 | C | 4 | 172-Si, 177-Si, 198-Si, 215-Si, 
65 | C | 4 | 125-Si, 127-Si, 169-Si, 173-Si, 
66 | C | 4 | 170-Si, 174-Si, 177-Si, 181-Si, 
67 | C | 4 | 126-Si, 128-Si, 171-Si, 175-Si, 
68 | C | 4 | 172-Si, 176-Si, 179-Si, 183-Si, 
69 | C | 4 | 147-Si, 149-Si, 169-Si, 181-Si, 
70 | C | 4 | 148-Si, 150-Si, 170-Si, 182-Si, 
71 | C | 4 | 171-Si, 173-Si, 177-Si, 183-Si, 
72 | C | 4 | 172-Si, 174-Si, 178-Si, 184-Si, 
73 | C | 4 | 169-Si, 177-Si, 197-Si, 213-Si, 
74 | C | 4 | 170-Si, 178-Si, 198-Si, 214-Si, 
75 | C | 4 | 171-Si, 179-Si, 199-Si, 215-Si, 
76 | C | 4 | 172-Si, 180-Si, 200-Si, 216-Si, 
77 | C | 4 | 117-Si, 127-Si, 147-Si, 185-Si, 
78 | C | 4 | 148-Si, 161-Si, 181-Si, 186-Si, 
79 | C | 4 | 128-Si, 137-Si, 173-Si, 187-Si, 
80 | C | 4 | 174-Si, 183-Si, 188-Si, 201-Si, 
81 | C | 4 | 118-Si, 141-Si, 157-Si, 189-Si, 
